2021-11-27 17:32:59 progame has been started -- test.cc:24
2021-11-27 17:32:59 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:33:02 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:33:05 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:33:08 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:33:11 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:33:14 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:33:17 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:33:20 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:33:23 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:33:26 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:33:29 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:33:32 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:33:35 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:33:38 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:33:41 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:33:44 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:33:47 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:33:50 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:33:53 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:33:56 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:33:59 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:34:02 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:34:05 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:34:08 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:34:11 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:34:14 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:34:17 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:34:20 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:34:23 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:34:26 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:34:29 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:34:32 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:34:35 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:34:38 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:34:41 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:34:44 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:34:47 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:34:50 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:34:53 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:34:56 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:34:59 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:35:02 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:35:05 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:35:08 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:35:11 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:35:14 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:35:17 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:35:20 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:35:23 WAIT FOR 3 SECONDS -- test.cc:40
2021-11-27 17:35:26 WAIT FOR 3 SECONDS -- test.cc:40
